Community Name,Assault (Non-domestic),Break & Enter - Commercial,Break & Enter - Dwelling,Break & Enter - Other Premises,Commercial Robbery,Street Robbery,Theft FROM Vehicle,Theft OF Vehicle,Violence Other (Non-domestic)
MARLBOROUGH,336.0,93.0,98.0,186.0,37.0,66.0,623.0,460.0,104.0
MARLBOROUGH PARK,191.0,60.0,65.0,123.0,23.0,35.0,501.0,373.0,83.0
MARTINDALE,191.0,50.0,111.0,149.0,5.0,70.0,649.0,379.0,110.0
MAYFAIR,1.0,4.0,12.0,2.0,0.0,0.0,32.0,2.0,1.0
MAYLAND,25.0,132.0,1.0,8.0,0.0,6.0,92.0,38.0,8.0
MAYLAND HEIGHTS,96.0,69.0,58.0,113.0,15.0,8.0,573.0,272.0,41.0
MCCALL,9.0,160.0,0.0,13.0,0.0,4.0,169.0,95.0,8.0
MCKENZIE LAKE,40.0,25.0,107.0,35.0,3.0,6.0,331.0,125.0,51.0
MCKENZIE TOWNE,114.0,140.0,50.0,106.0,18.0,14.0,483.0,217.0,100.0
MEADOWLARK PARK,128.0,62.0,10.0,37.0,18.0,38.0,386.0,119.0,40.0
MEDICINE HILL,0.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
MERIDIAN,63.0,188.0,2.0,6.0,0.0,11.0,226.0,239.0,22.0
MIDNAPORE,53.0,109.0,33.0,35.0,2.0,5.0,286.0,100.0,64.0
MILLRISE,30.0,75.0,52.0,27.0,2.0,3.0,208.0,63.0,17.0
MISSION,83.0,417.0,39.0,32.0,6.0,10.0,547.0,113.0,67.0
MONTEREY PARK,51.0,41.0,100.0,44.0,7.0,15.0,347.0,238.0,38.0
MONTGOMERY,126.0,134.0,64.0,165.0,14.0,13.0,542.0,199.0,79.0
MOUNT PLEASANT,60.0,162.0,57.0,277.0,5.0,8.0,545.0,205.0,46.0
NEW BRIGHTON,35.0,31.0,129.0,15.0,2.0,6.0,228.0,111.0,51.0
NOLAN HILL,9.0,32.0,54.0,12.0,0.0,2.0,135.0,50.0,23.0
NORTH AIRWAYS,19.0,104.0,2.0,3.0,0.0,2.0,198.0,128.0,14.0
NORTH GLENMORE PARK,22.0,34.0,33.0,58.0,3.0,2.0,139.0,50.0,12.0
NORTH HAVEN,22.0,12.0,25.0,31.0,0.0,1.0,76.0,38.0,19.0
NORTH HAVEN UPPER,1.0,2.0,7.0,13.0,0.0,1.0,17.0,10.0,1.0
NOSE HILL PARK,5.0,4.0,0.0,2.0,0.0,0.0,152.0,6.0,25.0
OAKRIDGE,35.0,45.0,51.0,28.0,9.0,7.0,166.0,47.0,22.0
OGDEN,141.0,91.0,63.0,80.0,19.0,17.0,416.0,317.0,85.0
OGDEN SHOPS,0.0,14.0,0.0,1.0,0.0,0.0,11.0,7.0,0.0
