Community Name,Assault (Non-domestic),Break & Enter - Commercial,Break & Enter - Dwelling,Break & Enter - Other Premises,Commercial Robbery,Street Robbery,Theft FROM Vehicle,Theft OF Vehicle,Violence Other (Non-domestic)
STONEY 4,1.0,35.0,0.0,1.0,0.0,0.0,27.0,15.0,1.0
STRATHCONA PARK,13.0,23.0,73.0,17.0,6.0,6.0,173.0,41.0,29.0
SUNALTA,190.0,248.0,59.0,51.0,10.0,16.0,518.0,184.0,63.0
SUNDANCE,59.0,15.0,72.0,14.0,0.0,5.0,221.0,83.0,56.0
SUNNYSIDE,127.0,202.0,58.0,95.0,6.0,26.0,377.0,153.0,41.0
SUNRIDGE,485.0,259.0,7.0,9.0,59.0,58.0,552.0,322.0,136.0
SYMONS VALLEY RANCH,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0
TARADALE,111.0,61.0,104.0,112.0,14.0,37.0,640.0,431.0,70.0
TEMPLE,206.0,63.0,78.0,132.0,22.0,35.0,586.0,441.0,85.0
THORNCLIFFE,138.0,89.0,84.0,128.0,26.0,16.0,498.0,281.0,84.0
TNPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TUSCANY,53.0,44.0,172.0,34.0,3.0,9.0,331.0,101.0,67.0
TUXEDO PARK,123.0,204.0,77.0,199.0,15.0,12.0,494.0,235.0,70.0
UNIVERSITY DISTRICT,13.0,15.0,0.0,1.0,0.0,0.0,20.0,5.0,28.0
UNIVERSITY HEIGHTS,15.0,93.0,25.0,39.0,8.0,3.0,163.0,64.0,15.0
UNIVERSITY OF CALGARY,50.0,62.0,1.0,6.0,1.0,7.0,155.0,39.0,60.0
UPPER MOUNT ROYAL,13.0,30.0,73.0,90.0,0.0,1.0,176.0,45.0,13.0
VALLEY RIDGE,14.0,27.0,74.0,4.0,1.0,1.0,162.0,43.0,14.0
VALLEYFIELD,27.0,90.0,5.0,1.0,1.0,1.0,95.0,69.0,6.0
VARSITY,115.0,228.0,147.0,143.0,18.0,25.0,698.0,256.0,76.0
VISTA HEIGHTS,79.0,23.0,31.0,36.0,10.0,10.0,194.0,124.0,33.0
WALDEN,21.0,55.0,28.0,28.0,4.0,4.0,102.0,48.0,15.0
WEST HILLHURST,53.0,131.0,56.0,285.0,13.0,7.0,432.0,147.0,44.0
WEST SPRINGS,38.0,60.0,124.0,21.0,2.0,17.0,213.0,66.0,35.0
WESTGATE,28.0,12.0,16.0,44.0,3.0,5.0,115.0,49.0,21.0
WESTWINDS,151.0,176.0,2.0,7.0,22.0,31.0,248.0,210.0,106.0
WHITEHORN,156.0,56.0,144.0,157.0,20.0,47.0,593.0,378.0,72.0
WILDWOOD,15.0,17.0,18.0,49.0,0.0,2.0,214.0,25.0,9.0
WILLOW PARK,80.0,102.0,56.0,80.0,17.0,8.0,452.0,179.0,58.0
WINDSOR PARK,66.0,173.0,45.0,92.0,3.0,7.0,456.0,127.0,52.0
WINSTON HEIGHTS/MOUNTVIEW,91.0,89.0,44.0,112.0,15.0,12.0,363.0,169.0,35.0
WOLF WILLOW,0.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0
WOODBINE,41.0,21.0,71.0,42.0,10.0,3.0,224.0,77.0,34.0
WOODLANDS,137.0,9.0,58.0,28.0,3.0,11.0,165.0,76.0,73.0
YORKVILLE,0.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0
